t=2026-05-14T15:23:24+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T15:23:24+0800 lvl=info msg="using configuration at default config path" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-14T15:23:24+0800 lvl=info msg="open config file" path="/Users/aagungwwahyu/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-14T15:23:24+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T15:23:24+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T15:23:25+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T15:23:25+0800 lvl=info msg="update available" obj=updater
t=2026-05-14T15:23:26+0800 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:5000 url=https://0fb0-2405-8180-a01-4a61-952d-21b9-c50-1bbd.ngrok-free.app
t=2026-05-14T15:23:56+0800 lvl=warn msg="failed to open private leg" id=8c73d5dd1ce2 privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T15:24:07+0800 lvl=warn msg="failed to open private leg" id=40b0847c20ff privaddr=localhost:5000 err="dial tcp [::1]:5000: connect: connection refused"
t=2026-05-14T16:22:02+0800 lvl=info msg="join connections" obj=join id=618626e1ccb0 l=[::1]:5000 r=8.215.23.167:9581
t=2026-05-14T16:22:16+0800 lvl=info msg="join connections" obj=join id=2ca76baddd4f l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63675
t=2026-05-14T16:22:51+0800 lvl=info msg="join connections" obj=join id=5f201e3078fc l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63675
t=2026-05-14T16:22:59+0800 lvl=info msg="join connections" obj=join id=8117b7282c30 l=[::1]:5000 r=147.139.206.250:6697
t=2026-05-14T16:23:16+0800 lvl=info msg="join connections" obj=join id=32625bbe3040 l=[::1]:5000 r=147.139.173.83:33745
t=2026-05-14T16:23:26+0800 lvl=info msg="join connections" obj=join id=2c667478f95d l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63675
t=2026-05-14T16:25:32+0800 lvl=info msg="join connections" obj=join id=7cba01d5b28a l=[::1]:5000 r=147.139.173.83:35527
t=2026-05-14T16:26:03+0800 lvl=info msg="join connections" obj=join id=ed4ea222a7d4 l=[::1]:5000 r=[2405:8180:a01:4a61:952d:21b9:c50:1bbd]:51881
t=2026-05-14T16:26:11+0800 lvl=info msg="join connections" obj=join id=2df5aa0cef15 l=[::1]:5000 r=[2405:8180:a01:4a61:952d:21b9:c50:1bbd]:51891
t=2026-05-14T16:26:17+0800 lvl=info msg="join connections" obj=join id=ea3b9e232746 l=[::1]:5000 r=[2405:8180:a01:4a61:952d:21b9:c50:1bbd]:51908
t=2026-05-14T16:28:09+0800 lvl=info msg="join connections" obj=join id=8f1b137e9efb l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63684
t=2026-05-14T16:29:08+0800 lvl=info msg="join connections" obj=join id=04b502a019b3 l=[::1]:5000 r=149.129.227.68:23877
t=2026-05-14T16:29:37+0800 lvl=info msg="join connections" obj=join id=bd31de436c8b l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63684
t=2026-05-14T16:31:31+0800 lvl=info msg="join connections" obj=join id=b0d1178ecbf2 l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63684
t=2026-05-14T16:31:47+0800 lvl=info msg="join connections" obj=join id=d556aec5626f l=[::1]:5000 r=[2405:8180:a01:4a61:c038:8aec:a415:34c3]:63684
